year,birdsAll,birdsFarmland,birdsWoodland,birdsWater,birdsSea,birdsWintering,birdsWildfowl,birdsWaders,landConversion,landFully,landTotal,ammonia,nitrogen,sulphur,nonMethane,pm10,pm2
2002,97.5,53.2,76.8,112.3,113.9,223.7,246,185,67.8,184.1,251.8,313.832935,1678.904293,1011.43457,1401.366197,155.3034214,102.827182
2003,98.4,53.8,76.9,114.5,115.7,214.3,227.5,182.4,36.7,220.3,257,304.1535908,1660.860706,989.054836,1291.847136,153.5614777,101.2328863
2004,97.8,54,77.4,109.6,108.7,217.3,226.3,191,28.9,229.6,258.3,309.7290499,1607.018286,832.808235,1211.352856,150.8762671,98.06456543
2005,100.2,53.3,79.5,109.5,108.1,223.1,247.5,180.3,53,238.4,291.5,304.4428413,1586.448008,709.562391,1136.126937,147.2538873,95.98602365
2006,100.7,52.8,80.5,111.2,112.8,209.7,209.9,196,66.6,229.8,296.3,300.5415328,1541.660099,669.516748,1090.466125,146.8279855,94.86506535
2007,99.4,48.7,80.6,106.3,116.7,206.7,211.1,185.6,89.1,258.7,347.8,292.1641803,1471.241031,589.316253,1053.987883,142.7575292,92.55875224
2008,98.9,50.1,78.4,108.3,109.4,219.7,237.2,183.1,91,283.9,375.1,278.2718253,1324.860626,491.556572,974.680311,137.5792507,90.0971436
2009,96.6,47.7,73.9,101,119.3,214.1,235.6,172.9,67.5,311.1,378.8,277.656474,1148.509255,398.851226,883.43562,126.6841806,83.85762684
2010,99.3,47.6,79.6,111.5,114.1,224.1,259,174,29.7,362.1,391.7,278.9797509,1122.996527,427.559275,855.204554,129.4624699,86.88639103
2011,98.8,48.4,81.7,99.1,115.3,207.8,234.4,163,25.5,325.5,351,279.1709509,1051.297182,390.97362,835.202935,123.3826294,81.22121621
2012,99.8,49.1,82.3,95.8,116.7,201.1,217.6,171.6,19.1,304.9,323.9,274.8833309,1072.867451,439.681259,823.579537,125.4791719,82.17432716
2013,92.1,43.7,72.1,97.2,109.8,191.8,196.5,171.2,13.9,302.4,316.3,271.3094972,1019.671597,393.156681,802.996539,123.4779032,81.51903291