"Title","Female unemployment rate (aged 16 and over, seasonally adjusted)"
"CDID","MGSZ"
"Source dataset ID","LMS"
"PreUnit",""
"Unit","%"
"Release date","19-02-2019"
"Next release","19 March 2019"
"Important notes",
"1971","5.1"
"1972","5.1"
"1973","4.8"
"1974","4.7"
"1975","5.1"
"1976","5.8"
"1977","6.2"
"1978","6.2"
"1979","6.2"
"1980","7.1"
"1981","8.8"
"1982","9.5"
"1983","10.5"
"1984","11.6"
"1985","10.9"
"1986","10.9"
"1987","10.0"
"1988","8.3"
"1989","7.1"
"1990","6.8"
"1991","7.5"
"1992","7.7"
"1993","7.9"
"1994","7.4"
"1995","6.8"
"1996","6.4"
"1997","5.9"
"1998","5.4"
"1999","5.2"
"2000","4.9"
"2001","4.4"
"2002","4.5"
"2003","4.4"
"2004","4.3"
"2005","4.4"
"2006","5.1"
"2007","5.0"
"2008","5.2"
"2009","6.5"
"2010","6.9"
"2011","7.4"
"2012","7.5"
"2013","7.1"
"2014","5.9"
"2015","5.2"
"2016","4.8"
"2017","4.3"
"2018","4.0"
"1971 Q1","4.9"
"1971 Q2","5.0"
"1971 Q3","5.1"
"1971 Q4","5.2"
"1972 Q1","5.2"
"1972 Q2","5.2"
"1972 Q3","5.1"
"1972 Q4","5.1"
"1973 Q1","4.9"
"1973 Q2","4.9"
"1973 Q3","4.8"
"1973 Q4","4.7"
"1974 Q1","4.7"
"1974 Q2","4.7"
"1974 Q3","4.7"
"1974 Q4","4.7"
"1975 Q1","4.8"
"1975 Q2","5.0"
"1975 Q3","5.2"
"1975 Q4","5.5"
"1976 Q1","5.7"
"1976 Q2","5.8"
"1976 Q3","5.9"
"1976 Q4","6.0"
"1977 Q1","6.0"
"1977 Q2","6.1"
"1977 Q3","6.2"
"1977 Q4","6.3"
"1978 Q1","6.2"
"1978 Q2","6.2"
"1978 Q3","6.2"
"1978 Q4","6.1"
"1979 Q1","6.1"
"1979 Q2","6.1"
"1979 Q3","6.2"
"1979 Q4","6.3"
"1980 Q1","6.5"
"1980 Q2","6.8"
"1980 Q3","7.3"
"1980 Q4","7.8"
"1981 Q1","8.3"
"1981 Q2","8.7"
"1981 Q3","9.0"
"1981 Q4","9.2"
"1982 Q1","9.3"
"1982 Q2","9.4"
"1982 Q3","9.6"
"1982 Q4","9.8"
"1983 Q1","10.0"
"1983 Q2","10.3"
"1983 Q3","10.7"
"1983 Q4","11.1"
"1984 Q1","11.6"
"1984 Q2","11.8"
"1984 Q3","11.6"
"1984 Q4","11.4"
"1985 Q1","11.1"
"1985 Q2","11.0"
"1985 Q3","10.9"
"1985 Q4","10.8"
"1986 Q1","10.9"
"1986 Q2","10.9"
"1986 Q3","10.9"
"1986 Q4","10.8"
"1987 Q1","10.6"
"1987 Q2","10.2"
"1987 Q3","9.8"
"1987 Q4","9.3"
"1988 Q1","8.9"
"1988 Q2","8.5"
"1988 Q3","8.1"
"1988 Q4","7.8"
"1989 Q1","7.4"
"1989 Q2","7.1"
"1989 Q3","6.9"
"1989 Q4","6.8"
"1990 Q1","6.7"
"1990 Q2","6.7"
"1990 Q3","6.7"
"1990 Q4","6.9"
"1991 Q1","7.2"
"1991 Q2","7.5"
"1991 Q3","7.6"
"1991 Q4","7.6"
"1992 Q1","7.6"
"1992 Q2","7.6"
"1992 Q3","7.6"
"1992 Q4","7.8"
"1993 Q1","8.0"
"1993 Q2","8.0"
"1993 Q3","7.8"
"1993 Q4","7.9"
"1994 Q1","7.8"
"1994 Q2","7.4"
"1994 Q3","7.3"
"1994 Q4","7.0"
"1995 Q1","7.0"
"1995 Q2","6.9"
"1995 Q3","6.9"
"1995 Q4","6.6"
"1996 Q1","6.3"
"1996 Q2","6.5"
"1996 Q3","6.4"
"1996 Q4","6.5"
"1997 Q1","6.2"
"1997 Q2","6.1"
"1997 Q3","5.8"
"1997 Q4","5.6"
"1998 Q1","5.5"
"1998 Q2","5.6"
"1998 Q3","5.4"
"1998 Q4","5.3"
"1999 Q1","5.3"
"1999 Q2","5.2"
"1999 Q3","5.2"
"1999 Q4","5.2"
"2000 Q1","5.3"
"2000 Q2","4.8"
"2000 Q3","4.8"
"2000 Q4","4.6"
"2001 Q1","4.5"
"2001 Q2","4.4"
"2001 Q3","4.4"
"2001 Q4","4.5"
"2002 Q1","4.4"
"2002 Q2","4.5"
"2002 Q3","4.6"
"2002 Q4","4.6"
"2003 Q1","4.4"
"2003 Q2","4.3"
"2003 Q3","4.5"
"2003 Q4","4.3"
"2004 Q1","4.3"
"2004 Q2","4.4"
"2004 Q3","4.3"
"2004 Q4","4.3"
"2005 Q1","4.2"
"2005 Q2","4.4"
"2005 Q3","4.3"
"2005 Q4","4.6"
"2006 Q1","4.8"
"2006 Q2","5.1"
"2006 Q3","5.1"
"2006 Q4","5.2"
"2007 Q1","5.2"
"2007 Q2","5.0"
"2007 Q3","5.0"
"2007 Q4","4.9"
"2008 Q1","4.8"
"2008 Q2","4.9"
"2008 Q3","5.3"
"2008 Q4","5.6"
"2009 Q1","6.2"
"2009 Q2","6.6"
"2009 Q3","6.5"
"2009 Q4","6.6"
"2010 Q1","6.7"
"2010 Q2","6.9"
"2010 Q3","7.1"
"2010 Q4","7.1"
"2011 Q1","7.1"
"2011 Q2","7.3"
"2011 Q3","7.5"
"2011 Q4","7.7"
"2012 Q1","7.6"
"2012 Q2","7.5"
"2012 Q3","7.4"
"2012 Q4","7.4"
"2013 Q1","7.3"
"2013 Q2","7.1"
"2013 Q3","7.2"
"2013 Q4","6.8"
"2014 Q1","6.4"
"2014 Q2","6.0"
"2014 Q3","5.7"
"2014 Q4","5.4"
"2015 Q1","5.3"
"2015 Q2","5.4"
"2015 Q3","5.2"
"2015 Q4","5.0"
"2016 Q1","5.0"
"2016 Q2","4.8"
"2016 Q3","4.7"
"2016 Q4","4.6"
"2017 Q1","4.4"
"2017 Q2","4.3"
"2017 Q3","4.2"
"2017 Q4","4.3"
"2018 Q1","4.2"
"2018 Q2","4.0"
"2018 Q3","4.0"
"2018 Q4","3.9"
"1971 FEB","4.9"
"1971 MAR","5.0"
"1971 APR","5.0"
"1971 MAY","5.0"
"1971 JUN","5.0"
"1971 JUL","5.0"
"1971 AUG","5.1"
"1971 SEP","5.1"
"1971 OCT","5.1"
"1971 NOV","5.2"
"1971 DEC","5.2"
"1972 JAN","5.2"
"1972 FEB","5.2"
"1972 MAR","5.2"
"1972 APR","5.2"
"1972 MAY","5.2"
"1972 JUN","5.2"
"1972 JUL","5.1"
"1972 AUG","5.1"
"1972 SEP","5.1"
"1972 OCT","5.1"
"1972 NOV","5.1"
"1972 DEC","5.0"
"1973 JAN","5.0"
"1973 FEB","4.9"
"1973 MAR","4.9"
"1973 APR","4.9"
"1973 MAY","4.9"
"1973 JUN","4.8"
"1973 JUL","4.8"
"1973 AUG","4.8"
"1973 SEP","4.7"
"1973 OCT","4.7"
"1973 NOV","4.7"
"1973 DEC","4.7"
"1974 JAN","4.7"
"1974 FEB","4.7"
"1974 MAR","4.7"
"1974 APR","4.7"
"1974 MAY","4.7"
"1974 JUN","4.7"
"1974 JUL","4.7"
"1974 AUG","4.7"
"1974 SEP","4.7"
"1974 OCT","4.7"
"1974 NOV","4.7"
"1974 DEC","4.7"
"1975 JAN","4.8"
"1975 FEB","4.8"
"1975 MAR","4.9"
"1975 APR","5.0"
"1975 MAY","5.0"
"1975 JUN","5.1"
"1975 JUL","5.2"
"1975 AUG","5.2"
"1975 SEP","5.3"
"1975 OCT","5.4"
"1975 NOV","5.5"
"1975 DEC","5.5"
"1976 JAN","5.6"
"1976 FEB","5.7"
"1976 MAR","5.7"
"1976 APR","5.8"
"1976 MAY","5.8"
"1976 JUN","5.8"
"1976 JUL","5.9"
"1976 AUG","5.9"
"1976 SEP","6.0"
"1976 OCT","6.0"
"1976 NOV","6.0"
"1976 DEC","6.0"
"1977 JAN","6.0"
"1977 FEB","6.0"
"1977 MAR","6.0"
"1977 APR","6.1"
"1977 MAY","6.1"
"1977 JUN","6.1"
"1977 JUL","6.2"
"1977 AUG","6.2"
"1977 SEP","6.3"
"1977 OCT","6.3"
"1977 NOV","6.3"
"1977 DEC","6.3"
"1978 JAN","6.2"
"1978 FEB","6.2"
"1978 MAR","6.2"
"1978 APR","6.2"
"1978 MAY","6.2"
"1978 JUN","6.2"
"1978 JUL","6.2"
"1978 AUG","6.2"
"1978 SEP","6.2"
"1978 OCT","6.2"
"1978 NOV","6.1"
"1978 DEC","6.1"
"1979 JAN","6.1"
"1979 FEB","6.1"
"1979 MAR","6.1"
"1979 APR","6.1"
"1979 MAY","6.1"
"1979 JUN","6.2"
"1979 JUL","6.2"
"1979 AUG","6.2"
"1979 SEP","6.2"
"1979 OCT","6.2"
"1979 NOV","6.3"
"1979 DEC","6.3"
"1980 JAN","6.4"
"1980 FEB","6.5"
"1980 MAR","6.6"
"1980 APR","6.7"
"1980 MAY","6.8"
"1980 JUN","7.0"
"1980 JUL","7.1"
"1980 AUG","7.3"
"1980 SEP","7.5"
"1980 OCT","7.6"
"1980 NOV","7.8"
"1980 DEC","8.0"
"1981 JAN","8.2"
"1981 FEB","8.3"
"1981 MAR","8.5"
"1981 APR","8.6"
"1981 MAY","8.7"
"1981 JUN","8.8"
"1981 JUL","8.9"
"1981 AUG","9.0"
"1981 SEP","9.0"
"1981 OCT","9.1"
"1981 NOV","9.2"
"1981 DEC","9.2"
"1982 JAN","9.3"
"1982 FEB","9.3"
"1982 MAR","9.3"
"1982 APR","9.4"
"1982 MAY","9.4"
"1982 JUN","9.5"
"1982 JUL","9.5"
"1982 AUG","9.6"
"1982 SEP","9.7"
"1982 OCT","9.7"
"1982 NOV","9.8"
"1982 DEC","9.9"
"1983 JAN","9.9"
"1983 FEB","10.0"
"1983 MAR","10.0"
"1983 APR","10.1"
"1983 MAY","10.3"
"1983 JUN","10.4"
"1983 JUL","10.5"
"1983 AUG","10.7"
"1983 SEP","10.8"
"1983 OCT","10.9"
"1983 NOV","11.1"
"1983 DEC","11.3"
"1984 JAN","11.4"
"1984 FEB","11.6"
"1984 MAR","11.7"
"1984 APR","11.8"
"1984 MAY","11.8"
"1984 JUN","11.7"
"1984 JUL","11.6"
"1984 AUG","11.6"
"1984 SEP","11.5"
"1984 OCT","11.5"
"1984 NOV","11.4"
"1984 DEC","11.3"
"1985 JAN","11.2"
"1985 FEB","11.1"
"1985 MAR","11.1"
"1985 APR","11.0"
"1985 MAY","11.0"
"1985 JUN","10.9"
"1985 JUL","10.9"
"1985 AUG","10.9"
"1985 SEP","10.9"
"1985 OCT","10.9"
"1985 NOV","10.8"
"1985 DEC","10.8"
"1986 JAN","10.9"
"1986 FEB","10.9"
"1986 MAR","10.8"
"1986 APR","10.8"
"1986 MAY","10.9"
"1986 JUN","10.9"
"1986 JUL","10.9"
"1986 AUG","10.9"
"1986 SEP","10.9"
"1986 OCT","10.9"
"1986 NOV","10.8"
"1986 DEC","10.8"
"1987 JAN","10.7"
"1987 FEB","10.6"
"1987 MAR","10.5"
"1987 APR","10.4"
"1987 MAY","10.2"
"1987 JUN","10.1"
"1987 JUL","9.9"
"1987 AUG","9.8"
"1987 SEP","9.6"
"1987 OCT","9.4"
"1987 NOV","9.3"
"1987 DEC","9.1"
"1988 JAN","9.0"
"1988 FEB","8.9"
"1988 MAR","8.8"
"1988 APR","8.6"
"1988 MAY","8.5"
"1988 JUN","8.4"
"1988 JUL","8.2"
"1988 AUG","8.1"
"1988 SEP","8.0"
"1988 OCT","7.9"
"1988 NOV","7.8"
"1988 DEC","7.7"
"1989 JAN","7.5"
"1989 FEB","7.4"
"1989 MAR","7.3"
"1989 APR","7.2"
"1989 MAY","7.1"
"1989 JUN","7.0"
"1989 JUL","7.0"
"1989 AUG","6.9"
"1989 SEP","6.9"
"1989 OCT","6.9"
"1989 NOV","6.8"
"1989 DEC","6.8"
"1990 JAN","6.7"
"1990 FEB","6.7"
"1990 MAR","6.7"
"1990 APR","6.7"
"1990 MAY","6.7"
"1990 JUN","6.7"
"1990 JUL","6.7"
"1990 AUG","6.7"
"1990 SEP","6.8"
"1990 OCT","6.8"
"1990 NOV","6.9"
"1990 DEC","7.0"
"1991 JAN","7.1"
"1991 FEB","7.2"
"1991 MAR","7.3"
"1991 APR","7.4"
"1991 MAY","7.5"
"1991 JUN","7.5"
"1991 JUL","7.6"
"1991 AUG","7.6"
"1991 SEP","7.6"
"1991 OCT","7.6"
"1991 NOV","7.6"
"1991 DEC","7.6"
"1992 JAN","7.6"
"1992 FEB","7.6"
"1992 MAR","7.6"
"1992 APR","7.6"
"1992 MAY","7.6"
"1992 JUN","7.7"
"1992 JUL","7.7"
"1992 AUG","7.6"
"1992 SEP","7.6"
"1992 OCT","7.7"
"1992 NOV","7.8"
"1992 DEC","8.0"
"1993 JAN","8.1"
"1993 FEB","8.0"
"1993 MAR","8.0"
"1993 APR","7.9"
"1993 MAY","8.0"
"1993 JUN","8.0"
"1993 JUL","8.0"
"1993 AUG","7.8"
"1993 SEP","8.0"
"1993 OCT","7.9"
"1993 NOV","7.9"
"1993 DEC","7.9"
"1994 JAN","7.9"
"1994 FEB","7.8"
"1994 MAR","7.7"
"1994 APR","7.6"
"1994 MAY","7.4"
"1994 JUN","7.3"
"1994 JUL","7.3"
"1994 AUG","7.3"
"1994 SEP","7.2"
"1994 OCT","7.1"
"1994 NOV","7.0"
"1994 DEC","7.0"
"1995 JAN","7.0"
"1995 FEB","7.0"
"1995 MAR","7.1"
"1995 APR","7.0"
"1995 MAY","6.9"
"1995 JUN","6.9"
"1995 JUL","6.9"
"1995 AUG","6.9"
"1995 SEP","6.8"
"1995 OCT","6.9"
"1995 NOV","6.6"
"1995 DEC","6.5"
"1996 JAN","6.4"
"1996 FEB","6.3"
"1996 MAR","6.4"
"1996 APR","6.5"
"1996 MAY","6.5"
"1996 JUN","6.5"
"1996 JUL","6.4"
"1996 AUG","6.4"
"1996 SEP","6.4"
"1996 OCT","6.4"
"1996 NOV","6.5"
"1996 DEC","6.4"
"1997 JAN","6.3"
"1997 FEB","6.2"
"1997 MAR","6.1"
"1997 APR","6.0"
"1997 MAY","6.1"
"1997 JUN","6.2"
"1997 JUL","6.1"
"1997 AUG","5.8"
"1997 SEP","5.7"
"1997 OCT","5.7"
"1997 NOV","5.6"
"1997 DEC","5.6"
"1998 JAN","5.6"
"1998 FEB","5.5"
"1998 MAR","5.5"
"1998 APR","5.5"
"1998 MAY","5.6"
"1998 JUN","5.6"
"1998 JUL","5.5"
"1998 AUG","5.4"
"1998 SEP","5.3"
"1998 OCT","5.3"
"1998 NOV","5.3"
"1998 DEC","5.3"
"1999 JAN","5.3"
"1999 FEB","5.3"
"1999 MAR","5.3"
"1999 APR","5.3"
"1999 MAY","5.2"
"1999 JUN","5.2"
"1999 JUL","5.2"
"1999 AUG","5.2"
"1999 SEP","5.2"
"1999 OCT","5.2"
"1999 NOV","5.2"
"1999 DEC","5.2"
"2000 JAN","5.2"
"2000 FEB","5.3"
"2000 MAR","5.1"
"2000 APR","5.0"
"2000 MAY","4.8"
"2000 JUN","4.8"
"2000 JUL","4.7"
"2000 AUG","4.8"
"2000 SEP","4.9"
"2000 OCT","4.7"
"2000 NOV","4.6"
"2000 DEC","4.5"
"2001 JAN","4.5"
"2001 FEB","4.5"
"2001 MAR","4.4"
"2001 APR","4.4"
"2001 MAY","4.4"
"2001 JUN","4.4"
"2001 JUL","4.4"
"2001 AUG","4.4"
"2001 SEP","4.4"
"2001 OCT","4.5"
"2001 NOV","4.5"
"2001 DEC","4.5"
"2002 JAN","4.5"
"2002 FEB","4.4"
"2002 MAR","4.5"
"2002 APR","4.6"
"2002 MAY","4.5"
"2002 JUN","4.5"
"2002 JUL","4.6"
"2002 AUG","4.6"
"2002 SEP","4.6"
"2002 OCT","4.6"
"2002 NOV","4.6"
"2002 DEC","4.5"
"2003 JAN","4.4"
"2003 FEB","4.4"
"2003 MAR","4.4"
"2003 APR","4.3"
"2003 MAY","4.3"
"2003 JUN","4.4"
"2003 JUL","4.5"
"2003 AUG","4.5"
"2003 SEP","4.3"
"2003 OCT","4.3"
"2003 NOV","4.3"
"2003 DEC","4.2"
"2004 JAN","4.3"
"2004 FEB","4.3"
"2004 MAR","4.4"
"2004 APR","4.4"
"2004 MAY","4.4"
"2004 JUN","4.3"
"2004 JUL","4.2"
"2004 AUG","4.3"
"2004 SEP","4.3"
"2004 OCT","4.2"
"2004 NOV","4.3"
"2004 DEC","4.2"
"2005 JAN","4.4"
"2005 FEB","4.2"
"2005 MAR","4.3"
"2005 APR","4.3"
"2005 MAY","4.4"
"2005 JUN","4.2"
"2005 JUL","4.2"
"2005 AUG","4.3"
"2005 SEP","4.4"
"2005 OCT","4.6"
"2005 NOV","4.6"
"2005 DEC","4.7"
"2006 JAN","4.8"
"2006 FEB","4.8"
"2006 MAR","4.9"
"2006 APR","4.9"
"2006 MAY","5.1"
"2006 JUN","5.1"
"2006 JUL","5.1"
"2006 AUG","5.1"
"2006 SEP","5.1"
"2006 OCT","5.1"
"2006 NOV","5.2"
"2006 DEC","5.2"
"2007 JAN","5.2"
"2007 FEB","5.2"
"2007 MAR","5.1"
"2007 APR","5.1"
"2007 MAY","5.0"
"2007 JUN","5.0"
"2007 JUL","5.0"
"2007 AUG","5.0"
"2007 SEP","5.0"
"2007 OCT","5.0"
"2007 NOV","4.9"
"2007 DEC","4.8"
"2008 JAN","4.8"
"2008 FEB","4.8"
"2008 MAR","5.0"
"2008 APR","4.8"
"2008 MAY","4.9"
"2008 JUN","5.0"
"2008 JUL","5.2"
"2008 AUG","5.3"
"2008 SEP","5.4"
"2008 OCT","5.5"
"2008 NOV","5.6"
"2008 DEC","5.7"
"2009 JAN","5.9"
"2009 FEB","6.2"
"2009 MAR","6.3"
"2009 APR","6.5"
"2009 MAY","6.6"
"2009 JUN","6.6"
"2009 JUL","6.5"
"2009 AUG","6.5"
"2009 SEP","6.6"
"2009 OCT","6.6"
"2009 NOV","6.6"
"2009 DEC","6.5"
"2010 JAN","6.7"
"2010 FEB","6.7"
"2010 MAR","6.7"
"2010 APR","6.9"
"2010 MAY","6.9"
"2010 JUN","7.0"
"2010 JUL","7.0"
"2010 AUG","7.1"
"2010 SEP","7.2"
"2010 OCT","7.0"
"2010 NOV","7.1"
"2010 DEC","7.2"
"2011 JAN","7.1"
"2011 FEB","7.1"
"2011 MAR","7.0"
"2011 APR","7.2"
"2011 MAY","7.3"
"2011 JUN","7.4"
"2011 JUL","7.5"
"2011 AUG","7.5"
"2011 SEP","7.6"
"2011 OCT","7.8"
"2011 NOV","7.7"
"2011 DEC","7.7"
"2012 JAN","7.7"
"2012 FEB","7.6"
"2012 MAR","7.6"
"2012 APR","7.5"
"2012 MAY","7.5"
"2012 JUN","7.5"
"2012 JUL","7.4"
"2012 AUG","7.4"
"2012 SEP","7.4"
"2012 OCT","7.4"
"2012 NOV","7.4"
"2012 DEC","7.3"
"2013 JAN","7.5"
"2013 FEB","7.3"
"2013 MAR","7.3"
"2013 APR","7.2"
"2013 MAY","7.1"
"2013 JUN","7.1"
"2013 JUL","7.2"
"2013 AUG","7.2"
"2013 SEP","7.0"
"2013 OCT","6.8"
"2013 NOV","6.8"
"2013 DEC","6.9"
"2014 JAN","6.5"
"2014 FEB","6.4"
"2014 MAR","6.3"
"2014 APR","6.2"
"2014 MAY","6.0"
"2014 JUN","5.8"
"2014 JUL","5.7"
"2014 AUG","5.7"
"2014 SEP","5.7"
"2014 OCT","5.6"
"2014 NOV","5.4"
"2014 DEC","5.4"
"2015 JAN","5.4"
"2015 FEB","5.3"
"2015 MAR","5.2"
"2015 APR","5.5"
"2015 MAY","5.4"
"2015 JUN","5.4"
"2015 JUL","5.2"
"2015 AUG","5.2"
"2015 SEP","5.0"
"2015 OCT","4.9"
"2015 NOV","5.0"
"2015 DEC","4.9"
"2016 JAN","5.0"
"2016 FEB","5.0"
"2016 MAR","5.0"
"2016 APR","4.8"
"2016 MAY","4.8"
"2016 JUN","4.7"
"2016 JUL","4.9"
"2016 AUG","4.7"
"2016 SEP","4.7"
"2016 OCT","4.6"
"2016 NOV","4.6"
"2016 DEC","4.5"
"2017 JAN","4.5"
"2017 FEB","4.4"
"2017 MAR","4.4"
"2017 APR","4.2"
"2017 MAY","4.3"
"2017 JUN","4.2"
"2017 JUL","4.3"
"2017 AUG","4.2"
"2017 SEP","4.1"
"2017 OCT","4.2"
"2017 NOV","4.3"
"2017 DEC","4.4"
"2018 JAN","4.2"
"2018 FEB","4.2"
"2018 MAR","4.1"
"2018 APR","4.1"
"2018 MAY","4.0"
"2018 JUN","4.0"
"2018 JUL","4.0"
"2018 AUG","4.0"
"2018 SEP","4.0"
"2018 OCT","4.0"
"2018 NOV","3.9"
